Site,Easting (AGD66 UTM Z55),Northing (AGD66 UTM Z55),Latitude (GDA94),Longitude (GDA94),Google Maps,Apple Maps
AGN010,507700,5225250,-43.123801,147.096041,"https://www.google.com/maps/search/?api=1&query=-43.123801,147.096041","https://maps.apple.com/?ll=-43.123801,147.096041&q=-43.123801,147.096041"
AGN016,506500,5224600,-43.129665,147.081297,"https://www.google.com/maps/search/?api=1&query=-43.129665,147.081297","https://maps.apple.com/?ll=-43.129665,147.081297&q=-43.129665,147.081297"
AGN120,506100,5221475,-43.157809,147.076414,"https://www.google.com/maps/search/?api=1&query=-43.157809,147.076414","https://maps.apple.com/?ll=-43.157809,147.076414&q=-43.157809,147.076414"
AGN130,506100,5221500,-43.157584,147.076414,"https://www.google.com/maps/search/?api=1&query=-43.157584,147.076414","https://maps.apple.com/?ll=-43.157584,147.076414&q=-43.157584,147.076414"
AGN200,506075,5221225,-43.16006,147.076109,"https://www.google.com/maps/search/?api=1&query=-43.16006,147.076109","https://maps.apple.com/?ll=-43.16006,147.076109&q=-43.16006,147.076109"
A6N245,507675,5221775,-43.155093,147.095783,"https://www.google.com/maps/search/?api=1&query=-43.155093,147.095783","https://maps.apple.com/?ll=-43.155093,147.095783&q=-43.155093,147.095783"
AGN249,507575,5221825,-43.154644,147.094552,"https://www.google.com/maps/search/?api=1&query=-43.154644,147.094552","https://maps.apple.com/?ll=-43.154644,147.094552&q=-43.154644,147.094552"
AGN250,507500,5221900,-43.153969,147.093628,"https://www.google.com/maps/search/?api=1&query=-43.153969,147.093628","https://maps.apple.com/?ll=-43.153969,147.093628&q=-43.153969,147.093628"
AGN260,506650,5221550,-43.157129,147.083178,"https://www.google.com/maps/search/?api=1&query=-43.157129,147.083178","https://maps.apple.com/?ll=-43.157129,147.083178&q=-43.157129,147.083178"
AGN300,506500,5221500,-43.157581,147.081334,"https://www.google.com/maps/search/?api=1&query=-43.157581,147.081334","https://maps.apple.com/?ll=-43.157581,147.081334&q=-43.157581,147.081334"
AGN400,506575,5220900,-43.162983,147.082263,"https://www.google.com/maps/search/?api=1&query=-43.162983,147.082263","https://maps.apple.com/?ll=-43.162983,147.082263&q=-43.162983,147.082263"
,,,,,,
ALB100,512100,5219300,-43.177322,147.150263,"https://www.google.com/maps/search/?api=1&query=-43.177322,147.150263","https://maps.apple.com/?ll=-43.177322,147.150263&q=-43.177322,147.150263"
,,,,,,
ARV005,481500,5215600,-43.210514,146.773633,"https://www.google.com/maps/search/?api=1&query=-43.210514,146.773633","https://maps.apple.com/?ll=-43.210514,146.773633&q=-43.210514,146.773633"
ARV100,485500,5231500,-43.067423,146.823289,"https://www.google.com/maps/search/?api=1&query=-43.067423,146.823289","https://maps.apple.com/?ll=-43.067423,146.823289&q=-43.067423,146.823289"
,,,,,,
BAK015,500500,5244350,-42.951844,147.007508,"https://www.google.com/maps/search/?api=1&query=-42.951844,147.007508","https://maps.apple.com/?ll=-42.951844,147.007508&q=-42.951844,147.007508"
BAK025,501100,5243750,-42.957247,147.014864,"https://www.google.com/maps/search/?api=1&query=-42.957247,147.014864","https://maps.apple.com/?ll=-42.957247,147.014864&q=-42.957247,147.014864"
BAK060,502350,5242900,-42.964898,147.030193,"https://www.google.com/maps/search/?api=1&query=-42.964898,147.030193","https://maps.apple.com/?ll=-42.964898,147.030193&q=-42.964898,147.030193"
BAK100,502900,5242450,-42.968948,147.03694,"https://www.google.com/maps/search/?api=1&query=-42.968948,147.03694","https://maps.apple.com/?ll=-42.968948,147.03694&q=-42.968948,147.03694"
BAK150,503600,5241900,-42.973898,147.045527,"https://www.google.com/maps/search/?api=1&query=-42.973898,147.045527","https://maps.apple.com/?ll=-42.973898,147.045527&q=-42.973898,147.045527"
BAK200,504350,5241250,-42.979747,147.05473,"https://www.google.com/maps/search/?api=1&query=-42.979747,147.05473","https://maps.apple.com/?ll=-42.979747,147.05473&q=-42.979747,147.05473"
BAK250,505250,5240650,-42.985145,147.065774,"https://www.google.com/maps/search/?api=1&query=-42.985145,147.065774","https://maps.apple.com/?ll=-42.985145,147.065774&q=-42.985145,147.065774"
,,,,,,
CFB010,495800,5226213,-43.115158,146.949756,"https://www.google.com/maps/search/?api=1&query=-43.115158,146.949756","https://maps.apple.com/?ll=-43.115158,146.949756&q=-43.115158,146.949756"
CFB020,496500,5225100,-43.125184,146.958354,"https://www.google.com/maps/search/?api=1&query=-43.125184,146.958354","https://maps.apple.com/?ll=-43.125184,146.958354&q=-43.125184,146.958354"
CFB030,497600,5224200,-43.133293,146.971873,"https://www.google.com/maps/search/?api=1&query=-43.133293,146.971873","https://maps.apple.com/?ll=-43.133293,146.971873&q=-43.133293,146.971873"
,,,,,,
CRB080,504400,5246450,-42.93292,147.055301,"https://www.google.com/maps/search/?api=1&query=-42.93292,147.055301","https://maps.apple.com/?ll=-42.93292,147.055301&q=-42.93292,147.055301"
CRB100,504600,5246100,-42.936071,147.057755,"https://www.google.com/maps/search/?api=1&query=-42.936071,147.057755","https://maps.apple.com/?ll=-42.936071,147.057755&q=-42.936071,147.057755"
CRB150,505650,5244950,-42.94642,147.070636,"https://www.google.com/maps/search/?api=1&query=-42.94642,147.070636","https://maps.apple.com/?ll=-42.94642,147.070636&q=-42.94642,147.070636"
CRB250,506350,5243900,-42.955869,147.079229,"https://www.google.com/maps/search/?api=1&query=-42.955869,147.079229","https://maps.apple.com/?ll=-42.955869,147.079229&q=-42.955869,147.079229"
CRB300,507000,5242400,-42.969371,147.087217,"https://www.google.com/maps/search/?api=1&query=-42.969371,147.087217","https://maps.apple.com/?ll=-42.969371,147.087217&q=-42.969371,147.087217"
,,,,,,
DIC500,494600,5238000,-43.009009,146.935118,"https://www.google.com/maps/search/?api=1&query=-43.009009,146.935118","https://maps.apple.com/?ll=-43.009009,146.935118&q=-43.009009,146.935118"
,,,,,,
DIP040,509550,5242850,-42.965291,147.118479,"https://www.google.com/maps/search/?api=1&query=-42.965291,147.118479","https://maps.apple.com/?ll=-42.965291,147.118479&q=-42.965291,147.118479"
DIP060,509300,5243350,-42.960792,147.115405,"https://www.google.com/maps/search/?api=1&query=-42.960792,147.115405","https://maps.apple.com/?ll=-42.960792,147.115405&q=-42.960792,147.115405"
DIP080,508800,5243300,-42.961248,147.109275,"https://www.google.com/maps/search/?api=1&query=-42.961248,147.109275","https://maps.apple.com/?ll=-42.961248,147.109275&q=-42.961248,147.109275"
DIP100,508800,5243350,-42.960798,147.109274,"https://www.google.com/maps/search/?api=1&query=-42.960798,147.109274","https://maps.apple.com/?ll=-42.960798,147.109274&q=-42.960798,147.109274"
,,,,,,
DOV070,500650,5205900,-43.298083,147.009399,"https://www.google.com/maps/search/?api=1&query=-43.298083,147.009399","https://maps.apple.com/?ll=-43.298083,147.009399&q=-43.298083,147.009399"
DOV090,500850,5204975,-43.306412,147.011866,"https://www.google.com/maps/search/?api=1&query=-43.306412,147.011866","https://maps.apple.com/?ll=-43.306412,147.011866&q=-43.306412,147.011866"
DOV100,500900,5204550,-43.310239,147.012484,"https://www.google.com/maps/search/?api=1&query=-43.310239,147.012484","https://maps.apple.com/?ll=-43.310239,147.012484&q=-43.310239,147.012484"
DOV110,501325,5204450,-43.311139,147.017724,"https://www.google.com/maps/search/?api=1&query=-43.311139,147.017724","https://maps.apple.com/?ll=-43.311139,147.017724&q=-43.311139,147.017724"
DOV120,501620,5204100,-43.31429,147.021363,"https://www.google.com/maps/search/?api=1&query=-43.31429,147.021363","https://maps.apple.com/?ll=-43.31429,147.021363&q=-43.31429,147.021363"
DOV130,501750,5203950,-43.31564,147.022967,"https://www.google.com/maps/search/?api=1&query=-43.31564,147.022967","https://maps.apple.com/?ll=-43.31564,147.022967&q=-43.31564,147.022967"
,,,,,,
ESP001,484300,5213200,-43.232188,146.808036,"https://www.google.com/maps/search/?api=1&query=-43.232188,146.808036","https://maps.apple.com/?ll=-43.232188,146.808036&q=-43.232188,146.808036"
ESP002,495400,5202800,-43.325985,146.944649,"https://www.google.com/maps/search/?api=1&query=-43.325985,146.944649","https://maps.apple.com/?ll=-43.325985,146.944649&q=-43.325985,146.944649"
,,,,,,
FLU100,499450,5226450,-43.113035,146.994621,"https://www.google.com/maps/search/?api=1&query=-43.113035,146.994621","https://maps.apple.com/?ll=-43.113035,146.994621&q=-43.113035,146.994621"
,,,,,,
FOU100,507600,5240800,-42.983774,147.094596,"https://www.google.com/maps/search/?api=1&query=-42.983774,147.094596","https://maps.apple.com/?ll=-42.983774,147.094596&q=-42.983774,147.094596"
FOU150,506650,5240950,-42.982432,147.082942,"https://www.google.com/maps/search/?api=1&query=-42.982432,147.082942","https://maps.apple.com/?ll=-42.982432,147.082942&q=-42.982432,147.082942"
FOU200,505550,5241050,-42.98154,147.06945,"https://www.google.com/maps/search/?api=1&query=-42.98154,147.06945","https://maps.apple.com/?ll=-42.98154,147.06945&q=-42.98154,147.06945"
,,,,,,
GDR100,512500,5219800,-43.172813,147.155173,"https://www.google.com/maps/search/?api=1&query=-43.172813,147.155173","https://maps.apple.com/?ll=-43.172813,147.155173&q=-43.172813,147.155173"
GDR150,509100,5218900,-43.180966,147.113357,"https://www.google.com/maps/search/?api=1&query=-43.180966,147.113357","https://maps.apple.com/?ll=-43.180966,147.113357&q=-43.180966,147.113357"
GDR200,508500,5218500,-43.184575,147.105981,"https://www.google.com/maps/search/?api=1&query=-43.184575,147.105981","https://maps.apple.com/?ll=-43.184575,147.105981&q=-43.184575,147.105981"
,,,,,,
GVC115,505925,5221775,-43.155109,147.074258,"https://www.google.com/maps/search/?api=1&query=-43.155109,147.074258","https://maps.apple.com/?ll=-43.155109,147.074258&q=-43.155109,147.074258"
,,,,,,
HOL100,509600,5218600,-43.183661,147.119515,"https://www.google.com/maps/search/?api=1&query=-43.183661,147.119515","https://maps.apple.com/?ll=-43.183661,147.119515&q=-43.183661,147.119515"
,,,,,,
HUO140,494100,5239100,-42.999099,146.928995,"https://www.google.com/maps/search/?api=1&query=-42.999099,146.928995","https://maps.apple.com/?ll=-42.999099,146.928995&q=-42.999099,146.928995"
HUO150,495312,5237550,-43.013066,146.943851,"https://www.google.com/maps/search/?api=1&query=-43.013066,146.943851","https://maps.apple.com/?ll=-43.013066,146.943851&q=-43.013066,146.943851"
HUO200,496525,5236475,-43.022752,146.95873,"https://www.google.com/maps/search/?api=1&query=-43.022752,146.95873","https://maps.apple.com/?ll=-43.022752,146.95873&q=-43.022752,146.95873"
HUO240,496600,5236325,-43.024104,146.95965,"https://www.google.com/maps/search/?api=1&query=-43.024104,146.95965","https://maps.apple.com/?ll=-43.024104,146.95965&q=-43.024104,146.95965"
,,,,,,
JUD020,497050,5246400,-42.933378,146.965224,"https://www.google.com/maps/search/?api=1&query=-42.933378,146.965224","https://maps.apple.com/?ll=-42.933378,146.965224&q=-42.933378,146.965224"
JUD025,496000,5242950,-42.964442,146.952332,"https://www.google.com/maps/search/?api=1&query=-42.964442,146.952332","https://maps.apple.com/?ll=-42.964442,146.952332&q=-42.964442,146.952332"
JUD070,495250,5241450,-42.977945,146.943123,"https://www.google.com/maps/search/?api=1&query=-42.977945,146.943123","https://maps.apple.com/?ll=-42.977945,146.943123&q=-42.977945,146.943123"
JUD100,495950,5242400,-42.969394,146.951715,"https://www.google.com/maps/search/?api=1&query=-42.969394,146.951715","https://maps.apple.com/?ll=-42.969394,146.951715&q=-42.969394,146.951715"
JUD200,493700,5239800,-42.992793,146.924095,"https://www.google.com/maps/search/?api=1&query=-42.992793,146.924095","https://maps.apple.com/?ll=-42.992793,146.924095&q=-42.992793,146.924095"
,,,,,,
KEL250,511600,5235100,-43.035052,147.143778,"https://www.google.com/maps/search/?api=1&query=-43.035052,147.143778","https://maps.apple.com/?ll=-43.035052,147.143778&q=-43.035052,147.143778"
KEL400,509500,5234200,-43.043186,147.118015,"https://www.google.com/maps/search/?api=1&query=-43.043186,147.118015","https://maps.apple.com/?ll=-43.043186,147.118015&q=-43.043186,147.118015"
KEL750,505900,5230700,-43.07474,147.073854,"https://www.google.com/maps/search/?api=1&query=-43.07474,147.073854","https://maps.apple.com/?ll=-43.07474,147.073854&q=-43.07474,147.073854"
,,,,,,
KER001,487400,5214600,-43.219639,146.846244,"https://www.google.com/maps/search/?api=1&query=-43.219639,146.846244","https://maps.apple.com/?ll=-43.219639,146.846244&q=-43.219639,146.846244"
KER010,489600,5218100,-43.188156,146.873397,"https://www.google.com/maps/search/?api=1&query=-43.188156,146.873397","https://maps.apple.com/?ll=-43.188156,146.873397&q=-43.188156,146.873397"
KER200,492400,5219050,-43.179634,146.907868,"https://www.google.com/maps/search/?api=1&query=-43.179634,146.907868","https://maps.apple.com/?ll=-43.179634,146.907868&q=-43.179634,146.907868"
KER400,493750,5219900,-43.171992,146.924488,"https://www.google.com/maps/search/?api=1&query=-43.171992,146.924488","https://maps.apple.com/?ll=-43.171992,146.924488&q=-43.171992,146.924488"
KER450,494100,5220250,-43.168843,146.928798,"https://www.google.com/maps/search/?api=1&query=-43.168843,146.928798","https://maps.apple.com/?ll=-43.168843,146.928798&q=-43.168843,146.928798"
KER650,493650,5221100,-43.161186,146.923272,"https://www.google.com/maps/search/?api=1&query=-43.161186,146.923272","https://maps.apple.com/?ll=-43.161186,146.923272&q=-43.161186,146.923272"
KER700,494300,5220700,-43.164793,146.931263,"https://www.google.com/maps/search/?api=1&query=-43.164793,146.931263","https://maps.apple.com/?ll=-43.164793,146.931263&q=-43.164793,146.931263"
KER750,494750,5220800,-43.163895,146.9368,"https://www.google.com/maps/search/?api=1&query=-43.163895,146.9368","https://maps.apple.com/?ll=-43.163895,146.9368&q=-43.163895,146.9368"
KER800,495200,5220500,-43.1666,146.942333,"https://www.google.com/maps/search/?api=1&query=-43.1666,146.942333","https://maps.apple.com/?ll=-43.1666,146.942333&q=-43.1666,146.942333"
,,,,,,
LAS040,512800,5208550,-43.274111,147.159128,"https://www.google.com/maps/search/?api=1&query=-43.274111,147.159128","https://maps.apple.com/?ll=-43.274111,147.159128&q=-43.274111,147.159128"
LAS060,512700,5208500,-43.274563,147.157896,"https://www.google.com/maps/search/?api=1&query=-43.274563,147.157896","https://maps.apple.com/?ll=-43.274563,147.157896&q=-43.274563,147.157896"
LAS080,512700,5208400,-43.275463,147.157899,"https://www.google.com/maps/search/?api=1&query=-43.275463,147.157899","https://maps.apple.com/?ll=-43.275463,147.157899&q=-43.275463,147.157899"
LAS100,512600,5208400,-43.275465,147.156666,"https://www.google.com/maps/search/?api=1&query=-43.275465,147.156666","https://maps.apple.com/?ll=-43.275465,147.156666&q=-43.275465,147.156666"
,,,,,,
LDR001,476700,5244000,-42.954643,146.715727,"https://www.google.com/maps/search/?api=1&query=-42.954643,146.715727","https://maps.apple.com/?ll=-42.954643,146.715727&q=-42.954643,146.715727"
LDR002,482100,5242600,-42.967396,146.781884,"https://www.google.com/maps/search/?api=1&query=-42.967396,146.781884","https://maps.apple.com/?ll=-42.967396,146.781884&q=-42.967396,146.781884"
LDR100,483377,5241426,-42.977996,146.797508,"https://www.google.com/maps/search/?api=1&query=-42.977996,146.797508","https://maps.apple.com/?ll=-42.977996,146.797508&q=-42.977996,146.797508"
LDR220,483775,5240800,-42.983642,146.802372,"https://www.google.com/maps/search/?api=1&query=-42.983642,146.802372","https://maps.apple.com/?ll=-42.983642,146.802372&q=-42.983642,146.802372"
LDR300,484020,5240900,-42.982747,146.805379,"https://www.google.com/maps/search/?api=1&query=-42.982747,146.805379","https://maps.apple.com/?ll=-42.982747,146.805379&q=-42.982747,146.805379"
LDR400,484125,5240775,-42.983875,146.806664,"https://www.google.com/maps/search/?api=1&query=-42.983875,146.806664","https://maps.apple.com/?ll=-42.983875,146.806664&q=-42.983875,146.806664"
,,,,,,
LUN010,485700,5192800,-43.415909,146.824749,"https://www.google.com/maps/search/?api=1&query=-43.415909,146.824749","https://maps.apple.com/?ll=-43.415909,146.824749&q=-43.415909,146.824749"
LUN020,492200,5192900,-43.415103,146.905041,"https://www.google.com/maps/search/?api=1&query=-43.415103,146.905041","https://maps.apple.com/?ll=-43.415103,146.905041&q=-43.415103,146.905041"
,,,,,,
MOU200,510850,5245900,-42.937808,147.134359,"https://www.google.com/maps/search/?api=1&query=-42.937808,147.134359","https://maps.apple.com/?ll=-42.937808,147.134359&q=-42.937808,147.134359"
MOU250,510800,5245800,-42.938709,147.133748,"https://www.google.com/maps/search/?api=1&query=-42.938709,147.133748","https://maps.apple.com/?ll=-42.938709,147.133748&q=-42.938709,147.133748"
MOU400,508800,5243400,-42.960347,147.109274,"https://www.google.com/maps/search/?api=1&query=-42.960347,147.109274","https://maps.apple.com/?ll=-42.960347,147.109274&q=-42.960347,147.109274"
MOU600,507000,5242200,-42.971172,147.087219,"https://www.google.com/maps/search/?api=1&query=-42.971172,147.087219","https://maps.apple.com/?ll=-42.971172,147.087219&q=-42.971172,147.087219"
MOU650,505300,5239500,-42.9955,147.066398,"https://www.google.com/maps/search/?api=1&query=-42.9955,147.066398","https://maps.apple.com/?ll=-42.9955,147.066398&q=-42.9955,147.066398"
MOU700,503900,5237500,-43.013519,147.049238,"https://www.google.com/maps/search/?api=1&query=-43.013519,147.049238","https://maps.apple.com/?ll=-43.013519,147.049238&q=-43.013519,147.049238"
MOU850,503300,5237000,-43.018025,147.041878,"https://www.google.com/maps/search/?api=1&query=-43.018025,147.041878","https://maps.apple.com/?ll=-43.018025,147.041878&q=-43.018025,147.041878"
,,,,,,
NIC100,512800,5224950,-43.126432,147.158744,"https://www.google.com/maps/search/?api=1&query=-43.126432,147.158744","https://maps.apple.com/?ll=-43.126432,147.158744&q=-43.126432,147.158744"
NIC300,512200,5222500,-43.148504,147.151422,"https://www.google.com/maps/search/?api=1&query=-43.148504,147.151422","https://maps.apple.com/?ll=-43.148504,147.151422&q=-43.148504,147.151422"
NIC500,511100,5221000,-43.162029,147.137925,"https://www.google.com/maps/search/?api=1&query=-43.162029,147.137925","https://maps.apple.com/?ll=-43.162029,147.137925&q=-43.162029,147.137925"
NIC700,508200,5220100,-43.170171,147.102265,"https://www.google.com/maps/search/?api=1&query=-43.170171,147.102265","https://maps.apple.com/?ll=-43.170171,147.102265&q=-43.170171,147.102265"
,,,,,,
PAR100,507350,5240650,-42.985127,147.091532,"https://www.google.com/maps/search/?api=1&query=-42.985127,147.091532","https://maps.apple.com/?ll=-42.985127,147.091532&q=-42.985127,147.091532"
,,,,,,
PCK010,496950,5229900,-43.081962,146.963911,"https://www.google.com/maps/search/?api=1&query=-43.081962,146.963911","https://maps.apple.com/?ll=-43.081962,146.963911&q=-43.081962,146.963911"
PCK020,498700,5229800,-43.082868,146.98541,"https://www.google.com/maps/search/?api=1&query=-43.082868,146.98541","https://maps.apple.com/?ll=-43.082868,146.98541&q=-43.082868,146.98541"
PCK030,500850,5229500,-43.085569,147.011824,"https://www.google.com/maps/search/?api=1&query=-43.085569,147.011824","https://maps.apple.com/?ll=-43.085569,147.011824&q=-43.085569,147.011824"
,,,,,,
PIC001,474300,5213400,-43.230114,146.684894,"https://www.google.com/maps/search/?api=1&query=-43.230114,146.684894","https://maps.apple.com/?ll=-43.230114,146.684894&q=-43.230114,146.684894"
PIC002,476000,5227100,-43.106805,146.706421,"https://www.google.com/maps/search/?api=1&query=-43.106805,146.706421","https://maps.apple.com/?ll=-43.106805,146.706421&q=-43.106805,146.706421"
,,,,,,
RIL200,494450,5217000,-43.198112,146.933072,"https://www.google.com/maps/search/?api=1&query=-43.198112,146.933072","https://maps.apple.com/?ll=-43.198112,146.933072&q=-43.198112,146.933072"
RIL400,493700,5219450,-43.176044,146.923868,"https://www.google.com/maps/search/?api=1&query=-43.176044,146.923868","https://maps.apple.com/?ll=-43.176044,146.923868&q=-43.176044,146.923868"
,,,,,,
RUS005,476400,5252400,-42.878991,146.712401,"https://www.google.com/maps/search/?api=1&query=-42.878991,146.712401","https://maps.apple.com/?ll=-42.878991,146.712401&q=-42.878991,146.712401"
RUS010,483500,5245600,-42.940412,146.799139,"https://www.google.com/maps/search/?api=1&query=-42.940412,146.799139","https://maps.apple.com/?ll=-42.940412,146.799139&q=-42.940412,146.799139"
RUS055,483200,5245000,-42.945808,146.795444,"https://www.google.com/maps/search/?api=1&query=-42.945808,146.795444","https://maps.apple.com/?ll=-42.945808,146.795444&q=-42.945808,146.795444"
RUS060,483250,5244995,-42.945854,146.796057,"https://www.google.com/maps/search/?api=1&query=-42.945854,146.796057","https://maps.apple.com/?ll=-42.945854,146.796057&q=-42.945854,146.796057"
RUS070,484300,5244450,-42.950784,146.808913,"https://www.google.com/maps/search/?api=1&query=-42.950784,146.808913","https://maps.apple.com/?ll=-42.950784,146.808913&q=-42.950784,146.808913"
RUS075,485500,5243350,-42.960714,146.823595,"https://www.google.com/maps/search/?api=1&query=-42.960714,146.823595","https://maps.apple.com/?ll=-42.960714,146.823595&q=-42.960714,146.823595"
RUS080,485550,5243300,-42.961165,146.824207,"https://www.google.com/maps/search/?api=1&query=-42.961165,146.824207","https://maps.apple.com/?ll=-42.961165,146.824207&q=-42.961165,146.824207"
RUS100,488700,5240800,-42.98373,146.862779,"https://www.google.com/maps/search/?api=1&query=-42.98373,146.862779","https://maps.apple.com/?ll=-42.98373,146.862779&q=-42.98373,146.862779"
,,,,,,
SOU010,496550,5193800,-43.407031,146.958778,"https://www.google.com/maps/search/?api=1&query=-43.407031,146.958778","https://maps.apple.com/?ll=-43.407031,146.958778&q=-43.407031,146.958778"
SOU050,496250,5193200,-43.412433,146.955069,"https://www.google.com/maps/search/?api=1&query=-43.412433,146.955069","https://maps.apple.com/?ll=-43.412433,146.955069&q=-43.412433,146.955069"
SOU100,497200,5192500,-43.41874,146.9668,"https://www.google.com/maps/search/?api=1&query=-43.41874,146.9668","https://maps.apple.com/?ll=-43.41874,146.9668&q=-43.41874,146.9668"
SOU150,497800,5191400,-43.428647,146.974207,"https://www.google.com/maps/search/?api=1&query=-43.428647,146.974207","https://maps.apple.com/?ll=-43.428647,146.974207&q=-43.428647,146.974207"
SOU200,497800,5191200,-43.430448,146.974207,"https://www.google.com/maps/search/?api=1&query=-43.430448,146.974207","https://maps.apple.com/?ll=-43.430448,146.974207&q=-43.430448,146.974207"
,,,,,,
STT100,492750,5224150,-43.133713,146.91224,"https://www.google.com/maps/search/?api=1&query=-43.133713,146.91224","https://maps.apple.com/?ll=-43.133713,146.91224&q=-43.133713,146.91224"
STT300,493200,5222600,-43.147674,146.917754,"https://www.google.com/maps/search/?api=1&query=-43.147674,146.917754","https://maps.apple.com/?ll=-43.147674,146.917754&q=-43.147674,146.917754"
STT400,493600,5221100,-43.161185,146.922657,"https://www.google.com/maps/search/?api=1&query=-43.161185,146.922657","https://maps.apple.com/?ll=-43.161185,146.922657&q=-43.161185,146.922657"
,,,,,,
SUP010,504425,5223950,-43.135534,147.055791,"https://www.google.com/maps/search/?api=1&query=-43.135534,147.055791","https://maps.apple.com/?ll=-43.135534,147.055791&q=-43.135534,147.055791"
SUP020,504325,5223890,-43.136075,147.054562,"https://www.google.com/maps/search/?api=1&query=-43.136075,147.054562","https://maps.apple.com/?ll=-43.136075,147.054562&q=-43.136075,147.054562"
SUP050,504790,5223650,-43.138233,147.060281,"https://www.google.com/maps/search/?api=1&query=-43.138233,147.060281","https://maps.apple.com/?ll=-43.138233,147.060281&q=-43.138233,147.060281"
SUP100,505625,5223550,-43.139128,147.07055,"https://www.google.com/maps/search/?api=1&query=-43.139128,147.07055","https://maps.apple.com/?ll=-43.139128,147.07055&q=-43.139128,147.07055"
SUP200,505675,5222250,-43.150834,147.071178,"https://www.google.com/maps/search/?api=1&query=-43.150834,147.071178","https://maps.apple.com/?ll=-43.150834,147.071178&q=-43.150834,147.071178"
SUP300,505925,5221800,-43.154884,147.074258,"https://www.google.com/maps/search/?api=1&query=-43.154884,147.074258","https://maps.apple.com/?ll=-43.154884,147.074258&q=-43.154884,147.074258"
SUP350,506950,5221712,-43.155667,147.086866,"https://www.google.com/maps/search/?api=1&query=-43.155667,147.086866","https://maps.apple.com/?ll=-43.155667,147.086866&q=-43.155667,147.086866"
,,,,,,
WAT050,495650,5235450,-43.031978,146.947983,"https://www.google.com/maps/search/?api=1&query=-43.031978,146.947983","https://maps.apple.com/?ll=-43.031978,146.947983&q=-43.031978,146.947983"
WAT055,495650,5235450,-43.031978,146.947983,"https://www.google.com/maps/search/?api=1&query=-43.031978,146.947983","https://maps.apple.com/?ll=-43.031978,146.947983&q=-43.031978,146.947983"
WAT200,496400,5236200,-43.025228,146.957194,"https://www.google.com/maps/search/?api=1&query=-43.025228,146.957194","https://maps.apple.com/?ll=-43.025228,146.957194&q=-43.025228,146.957194"
,,,,,,
WOL100,510500,5219100,-43.179147,147.13058,"https://www.google.com/maps/search/?api=1&query=-43.179147,147.13058","https://maps.apple.com/?ll=-43.179147,147.13058&q=-43.179147,147.13058"
,,,,,,
WOL100,510500,5219100,-43.179147,147.13058,"https://www.google.com/maps/search/?api=1&query=-43.179147,147.13058","https://maps.apple.com/?ll=-43.179147,147.13058&q=-43.179147,147.13058"
